french,spanish
tu lis,lees
il lit,lee
nous lisons,leemos
ils lisent,leen
je lisais,leé
tu lisais,leíste
il lisait,leyó
nous lisons,leímos
vous lisez,leyeron
je lirai,leeré
tu liras,leerás
il lira,leerá
nous lirons,leeremos
ils liront,leerán
penser,pensar
je suis en train de penser,estoy pensando
tu as pensé,has pensado
je pense,pienso
tu penses,piensas
il pense,piensa
nous pensons,pensamos
ils pensent,piensan
je pensais,pensé
tu pensais,pensaste
il pensait,pensó
nous pensions,pensamos
ils pensaient,pensaron
je penserai,pensaré
tu penseras,pensarás
il pensera,pensará
nous penserons,pensaramos
j'aurais dû t'écouter,debería haberte escuchado
j'aurais dû partir plus tôt,debí salir antes
j'aurais dû prendre plus de photos,debí tirar mas fotos
j'aurais pu dire qc,podría haber dicho algo
elle est en train de donner,ella está dando
dar,donner
il a donné,ha dado
je donne,doy
nous donnons,damos
ils donnent,dan
je donnai,di
tu donnas,diste
il donna,dio
nous donnâmes,dimos
ils donnèrent,dieron
dire,decir
je suis en train de dire,estoy diciendo
tu as dit,has dicho
je dis,digo
tu dis,dices
il dit,dice
nous disons,decimos
je dis (passé),dije
tu dis (passé),dijiste
il dit (passé),dijo
nous dîmes,dijimos
vous dîtes,ustedes dijeron
je dirai,diré
tu diras,dirás
il dira,dirá
nous dirons,dicemos
ils diront,dirán
pouvoir,poder
je peux,puedo
tu peux,puedes
il peut,puede
nous pouvons,podemos
ils peuvent,pueden
je pus,pude
tu pus,pudiste
il put,pudo
nous pûmes,pudimos
ils purent,pudieron
je pourrai,podré
tu pourras,podrás
il pourra,podrá
nous pourrons,podremos
ils pourront,podrán
il est en train de pouvoir,está pudiendo
tu as pu,has podido
savoir,saber
vous avez su,ustedes han sabido
ils sont en train de savoir,están sabiendo
je sais,sé
je sus,supe
tu sus,supiste
il sut,supo
nous sûmes,supimos
ils sûrent,supieron
je saurai,sabré
tu sauras,sabrás
il saura,sabrá
nous saurons,sabremos
ils sauront,sabrán
