french,spanish
il est en train de dormir,está durmiendo
il a dormi,ha dormido
je dors,duermo
tu dors,duermes
il dort,duerme
nous dormons,dormimos
ils dorment,duermen
je dormais,dormé
tu dormais,dormiste
il dormait,durmió
nous dormions,dormimos
ils dormaient,durmieron
je dormirai,dormiré
tu dormiras,dormirás
il dormira,dormirá
nous dormirons,dormiremos
ils dormiront,dormirón
hopefully,ojalá
être (temporaire),estar
il a été (temporaire),ha estado
tu es (temporaire),estás
nous sommes (temp),estamos
ils sont (temp),están
j'étais (temp),estuve
tu étais (temp),estuviste
il était (temp),estuvo
nous étions (temp),estuvimos
ils étaient (temp),estuvieron
je serai (temp),estaré
tu seras (temp),estavás
il sera (temp),estaré
nous serons (temp),estaremos
ils seront (temp),estarán
il y a,hay
j'ai dormi,he dormido
tu as dormi,has dormido
il a dormi,ha dormido
nous avons dormi,hemos dormido
ils ont dormi,han dormido
il y aura,habrá
il y eut,hubo
entendre/éctouer,oír
je suis en train d'écouter,estoy oyendo
j'ai écouté,he oído
j'écoute,oigo
tu écoutes,oyes
il écoute,oye
nous écoutons,oímos
ils écoutent,oyen
j'écoutais,oí
tu écoutais,oíste
il écoutait,oyó
nous écoutions,oímos
ils écoutaient,oyeron
j'écouterai,oiré
tu écouteras,oirás
il écoutera,oirá
nous écouterons,oiremos
ils écouteront,oirán
faire,hacer
il est en train de faire,está haciendo
il a fait,ha hecho
je fais,hago
tu fais,haces
il fait,hace
nous faisons,hacemos
ils font,hacen
je faisais,hice
tu faisais,hiciste
il faisait,hizo
nous faisions,hicimos
ils firent,hicieron
je ferai,haré
tu feras,harás
il fera,hará
nous ferons,haremos
ils feront,haran
aller,ir
je suis en train d'aller,estoy yendo
je suis allé,he ido
je vais,voy
tu vas,vas
il va,va
nous allons,vamos
ils vont,van
j'allais,fui
tu allais,fuiste
il allait,fue
nous allions,fuimos
ils allaient,fueron
j'irai,iré
tu iras,irás
il ira,irá
nous irons,iremos
ils iront,irán
lire,leer
je suis en train de lire,estoy leyendo
il a lu,ha leído
je lis,leo
suivre,seguir
je suis,sigo
tu suis,sigues
il suit,sigue
nous suivons,seguimos
ils suivent,siguen
he followed,suiguió
j'aimerais,me gustaría
je devrais,tendré que
